time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,entry,sl,sl_pips,tp1,tp2,tp3,tag
2026-03-05 19:40:00,2026-03-05,new_york,buy,structural_breakout,70.9,STRONG,True,[],5064.47,discount,bullish,True,33.69,80.7,34.05656,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:00:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5058.35,discount,bullish,True,33.52,80.7,34.05656,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:05:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5067.65,discount,bullish,True,38.04,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:10:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5070.99,discount,bullish,True,38.04,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:15:00,2026-03-05,new_york,buy,fvg_continuation,71.9,STRONG,True,[],5073.14,discount,bullish,True,38.04,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:20:00,2026-03-05,new_york,buy,fvg_continuation,71.9,STRONG,True,[],5070.2,discount,bullish,True,37.83,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:25:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5066.86,discount,bullish,True,37.83,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:30:00,2026-03-05,new_york,buy,fvg_continuation,71.9,STRONG,True,[],5075.04,discount,bullish,True,37.83,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:35:00,2026-03-05,new_york,buy,fvg_continuation,71.9,STRONG,True,[],5076.45,discount,bullish,True,43.66,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:40:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5082.86,discount,bullish,True,43.66,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:45:00,2026-03-05,new_york,buy,fvg_continuation,72.1,STRONG,True,[],5080.41,discount,bullish,True,43.66,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:50:00,2026-03-05,new_york,buy,fvg_continuation,72.4,STRONG,True,[],5073.13,discount,bullish,True,39.12,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 20:55:00,2026-03-05,new_york,buy,fvg_continuation,72.4,STRONG,True,[],5071.06,discount,bullish,True,39.12,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-03-05 21:00:00,2026-03-05,new_york,buy,fvg_continuation,72.6,STRONG,True,[],5073.26,discount,bullish,True,39.12,80.7,34.09681,True,HIGH IMPACT: Fed Chairman-Designate Warsh Testifies (USD) at 2026-04-21 14:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
